id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
"1,516",2135,3236578,127,"£988,926.02"
279,2724,760029,69,"£401,479.85"
159,900,143026,51,"£2,583,370.05"
84,575,48299,16,"£182,909.55"
14,1137,15916,8,"£105,855.26"
525,7313,3839076,117,"£74,222.83"
"1,296",5917,7668362,127,"£6,156,426.01"
"3,421",5110,17480845,135,"£11,719,812.23"
726,6034,4380880,122,"£19,889,070.96"
"1,597",4984,7959468,130,"£1,504,772.56"
"4,007",4404,17647814,131,"£4,586,898.18"
748,4037,3019696,91,"£17,631,320.57"
588,4261,2505256,121,"£937,791.59"
968,3307,3201640,127,"£2,243,152.61"
"2,511",3020,7584178,136,"£7,686,269.07"
747,3021,2256934,104,"£434,478.48"
852,2250,1916604,123,"£2,976,241.41"
177,2457,434873,56,"£75,973.49"
553,418,231114,59,"£1,565,876.55"
335,5130,1718440,98,"£2,281,577.91"
664,4534,3010683,112,"£818,110.91"
566,4004,2266368,117,"£2,477,186.07"
"1,272",3610,4592504,128,"£827,688.96"
191,4265,814576,58,"£2,164,439.17"
659,2965,1953849,114,"£1,498,058.90"
"1,213",2713,3290725,125,"£456,021.12"
212,2665,565049,78,"£1,364,827.55"
77,2410,185564,37,"£59,160.43"
"1,056",1741,1839008,122,"£1,697,439.24"
66,2137,141032,35,"£3,524,280.78"
39,1873,73048,25,"£8,103,257.38"
93,688,63939,34,"£8,990,262.27"
"1,310",7410,9707173,129,"£2,675,571.68"
"2,212",6442,14250165,134,"£7,428,933.03"
"3,341",5932,19817167,133,"£14,321,434.51"
488,5643,2754017,119,"£34,482,329.16"
"1,106",4285,4738956,127,"£48,398,171.06"
"3,269",3997,13067590,135,"£990,884.96"
230,3498,804499,95,"£4,782,551.06"
509,3389,1724913,115,"£6,116,096.12"
"1,388",3273,4542769,126,"£1,952,695.19"
145,3950,572692,50,"£34,868.03"
556,2599,1445229,116,"£120,314.62"
58,1328,76998,34,"£401,661.50"
223,8472,1889218,78,"£518,376.03"
337,6251,2106563,89,"£707,171.77"
184,6323,1163405,76,"£31,509.34"
508,4480,2276063,108,"£206,695.69"
318,3906,1242037,109,"£247,668.02"
535,3339,1786478,110,"£441,694.32"
327,2314,756612,90,"£939,747.29"
108,1571,169673,47,"£26,525.20"
577,2255,1301314,118,"£156,148.28"
55,514,28290,15,"£569,251.58"
87,21078,1833754,47,"£128,624.28"
210,18665,3919664,64,"£55,147.12"
517,14735,7617752,101,"£113,515.94"
547,12144,6642987,109,"£1,038,295.75"
229,17187,3935868,93,"£202,049.33"
738,11749,8670878,123,"£278,010.10"
"1,408",10384,14621004,130,"£707,885.59"
"3,092",9499,29371565,135,"£3,562,320.90"
"3,884",8575,33305514,137,"£1,126,638.27"
124,11200,1388789,42,"£305,711.69"
689,8019,5525184,120,"£419,645.67"
807,6661,5375830,122,"£1,913,239.87"
424,19634,8324851,23,"£520,308.01"
774,4100,3173026,123,"£380,389.46"
7,10389,72721,5,"£100,439.97"
11,7465,82116,10,"£170,663.87"
22,9157,201454,20,"£1,573,903.30"
41,9367,384037,32,"£285,739.49"
97,6938,672970,57,"£796,139.79"
2,17469,34938,2,"£1,180,535.19"
6,6219,37315,5,"£4,769,330.97"
11,7592,83507,11,"£699,340.77"
21,5391,113215,15,"£60,278.11"
137,5986,820030,77,"£190,195.11"
26,5528,143723,24,"£370,653.14"
60,3715,222920,42,"£1,578,598.34"
211,3758,792834,83,"£347,739.45"
48,2891,138784,34,"£167,276.50"
8,9080,72640,8,"£657,951.62"
20,8314,166287,17,"£2,586,585.59"
297,5541,1645778,81,"£264,085.54"
29,6249,181221,23,"£1,414,543.68"
105,5301,556575,64,"£11,726,634.67"
235,4850,1139709,78,"£1,281,005.46"
981,4427,4342554,125,"£90,933.65"
292,4493,1311984,98,"£97,086.68"
72,5584,402073,50,"£289,986.11"
91,4041,367767,50,"£3,781,590.81"
349,3493,1219101,96,"£1,280,202.00"
139,3695,513592,73,"£122,690.30"
60,3113,186797,44,"£434,813.34"
28,6621,185384,22,"£325,677.98"
79,4365,344841,47,"£928,164.96"
626,4422,2768243,101,"£2,186,748.88"
48,7973,382703,33,"£375,156.93"
157,4342,681617,71,"£1,338,690.64"
418,4203,1756774,99,"£1,986,225.14"
"1,223",3905,4775873,119,"£6,114,187.64"
205,3450,707161,88,"£506,325.10"
30,4034,121021,23,"£81,344.49"
96,3437,329925,52,"£191,036.23"
188,3420,642872,81,"£440,704.74"
658,3276,2155781,116,"£1,606,151.42"
135,3351,452419,79,"£429,613.10"
87,2554,222206,53,"£543,615.06"
182,3515,639714,70,"£1,602,025.03"
788,3525,2777508,112,"£192,868.34"
116,3589,416301,63,"£592,555.75"
419,3220,1349182,102,"£908,654.94"
"2,876",3000,8626927,126,"£3,088,024.36"
427,2653,1132991,96,"£1,030,087.40"
25,2036,50900,19,"£228,908.76"
33,2637,87007,27,"£367,614.73"
110,2901,319081,55,"£729,542.23"
"1,072",2325,2492668,112,"£587,421.81"
515,1773,912993,100,"£253,534.64"
50,1564,78213,35,"£171,366.96"
117,2066,241728,47,"£57,215.41"
101,7525,760063,58,"£92,691.63"
186,6942,1291244,83,"£450,270.39"
496,5462,2709138,114,"£733,511.37"
98,5412,530351,64,"£177,717.28"
289,5383,1555725,99,"£265,674.06"
448,4569,2046899,112,"£471,318.47"
"1,392",4266,5938251,122,"£202,553.73"
127,3856,489734,68,"£137,921.60"
17,4700,79906,15,"£227,191.21"
74,3774,279239,52,"£334,839.22"
125,3812,476484,68,"£180,103.69"
419,3621,1517104,105,"£354,394.80"
102,3410,347847,57,"£463,026.79"
100,6536,653558,63,"£720,518.31"
405,5097,2064310,99,"£144,701.56"
45,4829,217322,29,"£7,985.47"
181,4492,812995,89,"£72,535.59"
248,4611,1143474,90,"£4,191,404.74"
733,4064,2978944,114,"£14,264,994.41"
287,3509,1006953,89,"£44,254,610.50"
88,3465,304896,50,"£9,815,447.90"
102,3686,376005,60,"£9,968,616.62"
203,3254,660640,80,"£4,695,064.09"
203,2195,445677,67,"£1,229,357.41"
105,1812,190227,50,"£14,713,807.64"
40,2590,103610,31,"£7,588,544.21"
4,10726,42904,4,"£7,260,981.45"
7,16655,116582,7,"£2,195,468.03"
15,14425,216377,14,"£7,927,895.83"
57,8724,497295,43,"£4,539,826.24"
24,6953,166877,21,"£3,138,012.06"
45,6189,278498,31,"£7,733,969.89"
140,5195,727325,62,"£8,145,793.31"
36,7276,261953,26,"£1,938,361.64"
56,3188,178523,33,"£1,415,028.69"
46,3734,171779,30,"£1,367,948.63"
114,4157,473927,48,"£667,625.38"
129,2392,308548,56,"£690,894.10"
203,1757,356694,71,"£2,735,146.32"
339,1256,425919,85,"£43,046.81"
469,1247,584816,91,"£142,488.25"
42,3743,157189,32,"£165,542.14"
25,1270,31757,19,"£68,856.73"
77,1165,89686,41,"£41,507.85"
"1,920",4037,7750870,125,"£2,395,263.07"
"4,664",3733,17411849,126,"£772,042.36"
"9,869",3554,35069738,127,"£287,159.68"
"2,490",4769,11874227,128,"£229,831.98"
"1,765",4268,7532952,113,"£313,184.30"
649,6772,4395046,101,"£810,808.41"
198,6631,1312848,71,"£2,086,705.56"
"2,568",6391,16413326,121,"£19,254,474.26"
"1,003",7704,7727609,107,"£14,546,367.07"
716,11366,8138104,42,"£1,547,549.91"
258,12385,3195454,31,"£4,001,120.28"
855,12484,10673608,42,"£777,909.82"
412,13908,5730167,33,£388.57
899,4827,4339171,122,£256.00
"1,577",4422,6974165,124,£944.50
"1,257",4340,5454851,120,£183.20
317,6102,1934465,105,"£13,168.43"
473,4771,2256487,76,"£1,413,985.58"
385,5507,2120137,69,"£2,094,045.49"
250,2835,708824,79,"£3,918,054.29"
351,2615,917705,110,"£10,233,321.20"
856,2247,1923721,113,"£30,381.72"
15,5641,84614,10,"£657,212.10"
101,2645,267144,46,"£692,125.66"
3,21334,64002,1,"£1,644,174.73"
10,8566,85658,3,"£2,712,634.94"
1,60291,60291,1,"£1,655,249.56"
9,16749,150741,3,"£4,455,777.48"
6,23693,142160,3,"£5,082,280.16"
11,14270,156965,5,"£2,068,881.66"
12,14901,178818,2,"£2,408,910.84"
13,23954,311397,5,"£216,433.83"
30,13313,399384,7,"£116,112.18"
28,9281,259878,7,"£387,357.86"
50,8186,409280,12,"£775,791.93"
36,3317,119396,6,"£3,350,652.32"
73,5712,416973,11,"£144,289.95"
45,2677,120478,13,"£80,889.73"
109,5170,563565,18,"£252,513.71"
64,1825,116809,15,"£195,786.88"
21,2622,55062,11,"£215,397.55"
19,1722,32712,8,"£449,070.94"
6,2068,12410,5,"£1,397,648.60"
1,118611,118611,1,"£4,723,780.69"
3,665,1996,1,"£28,054,256.94"
9,4344,39092,4,"£36,467.34"
11,6585,72430,5,"£26,072.65"
9,6223,56006,3,"£26,095.28"
38,1837,69793,4,"£15,741.55"
52,4751,247033,9,"£124,089.65"
134,1473,197370,13,"£117,662.80"
63,933,58788,6,"£115,532.34"
16,681,10902,6,"£75,935.67"
29,3416,99053,11,"£498,371.43"
20,2196,43921,8,"£407,639.12"
4,2509,10037,1,"£221,721.37"
2,2636,5272,1,"£47,822.21"
4,1560,6242,4,"£396,783.58"
1,1707,1707,1,"£873,817.86"
2,1235,2470,1,"£407,505.27"
7,1340,9383,6,"£109,793.40"
155,9254,1434367,39,"£434,419.37"
"2,178",6320,13764132,95,"£477,908.31"
"5,760",1864,10734674,137,"£637,156.16"
881,1877,1654009,101,"£420,605.36"
"2,662",1115,2968470,120,"£180,814.31"
772,1175,907197,88,"£826,030.65"
8,158,1262,1,"£28,998.67"
3,284,851,3,"£1,786,039.45"
2,789,1578,2,"£228,860.82"
30,688,20635,19,"£10,464,174.59"
136,10011,1361471,61,"£1,081,181.21"
299,5473,1636318,93,"£61,393.57"
816,4579,3736148,118,"£54,968.39"
"2,424",2935,7115098,134,"£357,587.98"
23,5083,116899,13,"£452,103.24"
153,3835,586812,55,"£548,046.47"
303,3147,953605,84,"£67,529.03"
647,2373,1535326,110,"£544,302.79"
"1,316",1614,2123914,122,"£1,039,515.95"
"1,332",1028,1369199,115,"£796,842.38"
"1,820",3470,6316292,106,"£551,757.53"
"1,663",3169,5269929,109,"£1,622,166.13"
433,6645,2877210,78,"£296,962.68"
437,5387,2353955,67,"£696,386.94"
82,4682,383946,24,"£687,846.30"
74,3070,227210,25,"£90,573.24"
245,3265,799834,55,"£536,327.00"
448,2073,928562,64,"£1,064,512.47"
"1,602",1917,3070325,70,"£1,066,536.30"
67,2471,165564,26,"£983,325.05"
62,1275,79022,32,"£1,445,466.06"
199,1032,205462,59,"£2,384,103.30"
103,2728,281021,34,"£202,504.24"
126,1323,166737,41,"£357,542.31"
219,1508,330217,69,"£564,912.32"
519,5201,2699318,106,"£631,974.50"
"1,711",4351,7444507,120,"£1,744,276.34"
"7,616",3935,29969000,125,"£572,025.44"
25,2835,70875,15,"£1,470,862.18"
35,1306,45716,20,"£3,381,599.84"
19,2017,38320,12,"£107,607.84"
13,1843,23959,9,"£158,365.97"
59,3324,196121,33,"£448,024.69"
76,1075,81678,37,"£1,121,481.27"
102,1005,102464,44,"£8,190.75"
65,869,56512,30,"£1,325.00"
250,4340,1085005,55,"£628,256.30"
174,2371,412509,64,"£689,596.68"
125,1666,208283,49,"£845,316.03"
11,3742,41157,8,"£1,471,963.89"
328,3021,990775,79,"£1,406,471.49"
847,706,598404,81,"£209,100.59"
119,5778,687557,62,"£1,219,143.74"
17,3939,66955,13,"£1,473,642.56"
293,2766,810484,74,"£2,039,649.60"
330,1958,646162,89,"£3,462,898.73"
544,1198,651664,106,"£445,279.32"
375,872,327115,88,"£10,826,072.22"
252,637,160546,64,"£638,505.44"
98,13063,1280160,12,"£2,524,934.35"
4,22345,89379,4,"£1,295,628.70"
135,13686,1847563,12,"£846,161.95"
15,15178,227675,6,"£2,136,844.73"
635,12198,7745594,19,"£3,002,842.57"
60,18988,1139257,12,"£16,706,078.23"
15,9198,137970,8,"£22,829,455.80"
18,6368,114622,16,"£15,778,379.39"
42,6477,272054,34,"£150,351.97"
71,5274,374422,43,"£2,989,417.59"
93,3297,306617,55,"£93,030.11"
15,4404,66055,8,"£425,577.95"
116,4387,508871,55,"£511,348.00"
294,2489,731839,87,"£22,007.42"
312,1379,430388,93,"£42,317.76"
359,1222,438651,87,"£69,316.08"
757,1824,1380803,56,"£99,991.21"
41,9190,376775,28,"£489,757.26"
95,5820,552937,44,"£642,421.96"
216,3879,837958,60,"£1,092,105.37"
50,5638,281879,30,"£2,118,961.65"
227,3285,745657,65,"£184,096.15"
527,1880,990529,106,"£164,093.18"
673,1477,993943,104,"£127,559.93"
163,6427,1047674,50,"£330,591.53"
336,4318,1450887,66,"£395,959.84"
491,3634,1784361,71,"£47,138.91"
129,3406,439362,23,"£82,675.34"
199,2596,516650,34,"£39,325.22"
414,1914,792553,53,"£1,965,305.17"
544,1728,939979,60,"£5,587,380.25"
"1,282",1338,1715255,72,"£4,684,230.39"
167,6776,1131524,77,"£2,537,911.07"
428,3844,1645303,104,"£10,407,749.80"
851,3201,2724126,120,"£36,619,290.43"
46,2962,136250,23,"£1,411,603.95"
90,2328,209520,42,"£3,254,166.34"
340,1411,479635,84,"£245,355.95"
"1,615",824,1330175,113,"£565,343.52"
1,235,235,1,"£67,418.11"
1,194,194,1,"£110,676.75"
1,872,872,1,"£380,106.28"
122,8414,1026477,66,"£4,435,604.73"
213,3512,748001,80,"£2,236,876.04"
269,3121,839544,98,"£1,759,884.81"
343,2853,978587,96,"£173,922.73"
353,3091,1091189,93,"£442,303.48"
46,5247,241383,31,"£386,111.84"
390,3314,1292576,76,"£153,936.46"
858,1694,1453334,99,"£561,741.45"
"1,120",1472,1649139,104,"£1,162,207.02"
"1,938",1443,2796480,107,"£531,515.95"
206,2257,464975,27,"£277,683.47"
"5,412",1922,10403098,124,"£150,016.62"
111,9435,1047293,18,"£283,270.71"
416,7549,3140567,89,"£207,536.99"
389,5787,2251288,98,"£72,745.92"
244,3988,973029,95,"£204,174.15"
"1,035",3468,3589281,120,"£340,054.52"
"1,860",2675,4974828,125,"£23,271.94"
"8,090",2359,19081985,128,"£66,866.29"
"9,295",2180,20263578,128,"£151,434.03"
"7,449",1546,11514435,132,"£5,345,761.57"
339,1041,352771,38,"£5,432,016.09"
"2,878",891,2565578,134,"£569,153.26"
41,3936,161389,25,"£945,685.66"
136,2589,352141,72,"£102,194.74"
182,2216,403276,79,"£166,610.88"
11,1693,18627,8,"£373,176.16"
15,2165,32481,12,"£83,472.61"
89,1035,92132,49,"£47,658.91"
99,801,79258,45,"£39,064.82"
"1,790",176,314842,64,"£5,366,637.86"
370,1136,420316,99,"£4,054,434.85"
340,2965,1008154,100,"£1,851,310.68"
542,2653,1437832,105,"£277,660.10"
112,1963,219853,51,"£1,807,457.21"
149,1150,171358,63,"£931,586.94"
147,616,90568,48,"£3,870,004.66"
113,4053,457981,65,"£653,604.74"
103,3185,328082,61,"£1,168,690.66"
28,3074,86067,22,"£231,232.71"
96,1341,128734,45,"£834,056.08"
40,824,32950,27,"£1,173,082.79"
306,5904,1806760,67,"£2,661,869.22"
546,5952,3249787,69,"£1,185,313.85"
480,7031,3374889,31,"£499,177.05"
"1,089",3684,4011614,121,"£5,858,426.61"
"4,146",3122,12944911,124,"£354,547.01"
"11,211",3029,33953168,125,"£2,720,756.05"
890,2118,1884848,120,"£806,639.10"
"2,026",1904,3856954,119,"£131,255.71"
103,2741,282334,56,"£2,025,162.71"
163,2536,413338,79,"£118,265.33"
60,1257,75449,34,"£601,694.76"
135,961,129679,54,"£126,703.80"
456,841,383294,90,"£1,575,548.25"
772,4728,3650221,86,"£1,488,596.80"
549,3975,2182372,40,"£2,682,412.92"
393,3781,1486121,34,"£4,465,107.75"
60,1754,105259,32,"£9,093,170.28"
118,5175,610695,57,"£581,174.48"
96,3666,351944,57,"£1,249,909.49"
107,4237,453319,29,"£3,080,164.33"
275,2572,707279,43,"£5,459,543.58"
666,2254,1501466,58,"£8,755,620.94"
413,1418,585559,59,"£7,384,749.55"
798,492,393003,50,"£17,949,176.20"
78,2074,161760,48,"£1,019,886.76"
150,1404,210638,58,"£2,600,251.10"
123,1166,143362,62,"£2,162,682.27"
50,2866,143284,34,"£5,990,736.52"
84,2680,225114,52,"£11,717,452.76"
102,2187,223106,59,"£1,708,136.85"
11,1432,15754,10,"£2,802,982.24"
53,1072,56821,35,"£18,603,518.53"
114,1041,118665,51,"£1,062,259.60"
342,13032,4456880,45,"£8,343,744.56"
332,10416,3458100,47,"£9,710,210.43"
181,4202,760494,74,"£1,941,418.74"
235,3545,833067,84,"£1,869,666.49"
55,2059,113248,33,"£34,828,855.54"
140,1280,179165,58,"£2,997,773.98"
466,908,423032,95,"£2,643,737.14"
80,698,55851,15,"£3,283,772.35"
69,1044,72036,15,"£7,647,504.02"
81,621,50335,8,"£252,441.14"
652,7358,4797397,19,"£102,469.74"
606,5536,3354650,48,"£1,656,215.09"
587,3638,2135559,78,"£2,690,472.96"
394,4702,1852552,37,"£4,173,924.49"
77,3269,251746,50,"£766,353.12"
198,2761,546762,74,"£3,564,466.17"
200,5043,1008509,90,"£155,718.58"
348,3448,1199921,111,"£1,010,117.44"
117,2738,320387,36,"£681,030.90"
339,2822,956517,109,"£1,517,851.20"
382,2498,954277,94,"£3,811,476.27"
"1,027",2171,2229672,121,"£7,634,567.78"
542,2408,1305103,85,"£13,648,170.11"
171,2481,424304,33,"£2,440,422.54"
"3,918",1533,6004357,128,"£13,267,474.37"
171,2047,350043,41,"£1,793,255.15"
"1,410",1879,2649118,123,"£13,625,170.96"
490,1706,835887,83,"£3,016,603.58"
64,2046,130967,24,"£4,738,990.31"
527,2851,1502476,109,"£10,120,882.98"
130,1225,159187,54,"£2,638,464.35"
153,3138,480176,71,"£7,426,754.78"
126,1686,212465,45,"£68,019,400.55"
935,4415,4128153,94,"£9,474,914.71"
216,12904,2787331,71,"£31,778,486.17"
471,8764,4127649,91,"£3,173,883.40"
987,7870,7767871,103,"£5,973,220.08"
"1,772",7249,12845711,110,"£2,271,010.96"
91,11460,1042879,47,"£6,985,242.73"
167,8781,1466446,61,"£1,322,876.70"
525,7508,3941660,88,"£154,753.66"
775,6741,5224627,106,"£2,425,415.47"
"1,003",6586,6605299,106,"£471,180.61"
"1,563",7097,11092607,100,"£3,913,237.87"
"2,798",6320,17682575,104,"£262,641.07"
157,7657,1202214,24,"£51,746.24"
468,5978,2797700,32,"£1,768,801.96"
931,4136,3850354,115,"£2,178,150.38"
"2,321",3387,7861956,117,"£811,208.53"
"3,510",3100,10881108,118,"£268,044.00"
671,3616,2426041,115,"£4,869,172.26"
"1,206",3118,3760622,120,"£12,434,740.76"
"5,110",2871,14668553,123,"£14,656,632.73"
240,5417,1300086,51,"£1,267,652.07"
"1,008",14359,14473407,95,"£6,633,993.49"
884,11248,9943362,91,"£4,874,453.43"
590,4606,2717606,115,"£3,980,781.35"
588,3232,1900444,118,"£1,217,357.59"
"7,962",7856,62550174,47,"£3,375,796.63"
"1,121",3611,4048364,119,"£846,767.91"
829,3087,2559499,117,"£160,535.53"
300,19609,5882830,48,"£144,732.06"
"3,936",1318,5189075,129,"£201,270.55"
122,1808,220596,27,£629.00
27,1522,41096,11,"£74,771.27"
424,4451,1887137,26,"£58,699.86"
516,6077,3135740,86,"£53,031.85"
756,5308,4012558,89,"£693,565.00"
602,1111,668641,80,"£486,485.84"
"2,724",1908,5196068,105,"£691,586.16"
71,1323,93919,32,"£1,188,218.85"
107,3219,344430,12,"£586,534.94"
60,2795,167698,11,"£543,746.57"
281,4758,1337059,40,"£1,054,899.94"
205,6681,1369569,63,"£1,312,572.12"
801,7359,5894269,119,"£2,079,926.33"
"1,551",5693,8830268,130,"£60,095.98"
"2,316",5046,11686209,131,"£527,833.82"
764,3596,2747379,122,"£443,999.55"
"3,210",3154,10122988,130,"£944,819.14"
881,2829,2491953,121,"£4,123,403.53"
"4,717",2485,11720553,133,"£260,652.20"
782,5686,4446220,114,"£469,577.54"
"1,367",4813,6579035,130,"£1,726,393.83"
"2,449",4299,10528410,131,"£56,689.70"
572,6343,3628333,122,"£8,233.47"
"1,632",4991,8144579,128,"£28,286.48"
"13,362",4338,57970266,134,"£2,124,194.10"
"3,953",4453,17602379,134,"£81,697.02"
"9,124",4000,36495539,134,"£25,957.59"
230,3462,796276,92,"£101,436.22"
"1,216",2878,3499086,129,"£44,409.43"
"3,302",2276,7514824,131,"£167,147.26"
518,3815,1976266,119,"£130,756.34"
"3,111",1853,5765639,128,"£533,020.74"
"1,037",1831,1898849,128,"£2,932.56"
"1,361",1424,1937642,125,"£50,999.20"
118,1687,199073,63,"£48,953.72"
141,1340,189006,67,"£1,042.17"
"1,027",8787,9024542,96,"£48,448.77"
"2,361",6759,15958125,116,"£358,038.92"
"2,268",6289,14263596,112,"£67,737.92"
922,1887,1739711,117,"£18,983.50"
"1,992",5063,10085068,125,"£105,824.16"
"1,744",3598,6274784,126,"£71,028.61"
"1,881",2896,5447070,130,"£121,380.87"
513,1634,838013,105,"£126,982.80"
"1,686",1534,2586850,127,"£661,888.10"
516,1580,815508,107,"£562,137.95"
75,1412,105936,54,"£269,593.31"
155,1319,204424,71,"£773,680.18"
313,452,141516,62,"£282,904.21"
1,1214,1214,1,"£107,021.20"
72,1306,94036,40,"£249,996.39"
39,1302,50796,22,"£22,902.94"
54,1330,71800,27,"£20,392.86"
2,2361,4721,2,"£28,575.25"
12,1109,13307,8,"£29,215.75"
2,4629,9258,2,"£25,885.99"
8,1510,12076,8,"£33,850.55"
1,2188,2188,1,"£25,278.82"
19,455,8636,10,"£6,361.21"
27,1800,48604,16,"£29,257.17"
354,2124,751849,86,"£77,862.10"
386,1227,473492,61,"£83,704.15"
"3,589",1506,5406309,122,"£102,164.01"
30,3169,95083,16,"£269,770.13"
507,983,498385,74,"£218,248.43"
80,832,66583,20,"£255,593.00"
"1,118",909,1016590,84,"£11,484.53"
42,734,30812,20,"£2,834.78"
"1,338",786,1051541,83,"£5,365.75"
77,9897,762069,39,"£54,815.15"
92,5221,480349,51,"£32,611.23"
213,4451,948053,63,"£7,684.68"
448,3122,1398696,70,"£825,724.46"
119,5468,650648,40,"£3,076,873.07"
182,2494,453995,49,"£6,405,910.93"
488,2254,1100045,71,"£242,037.96"
685,1921,1315968,75,"£854,217.21"
711,2092,1487420,72,"£1,267,934.52"
62,2168,134392,35,"£1,912.30"
"1,096",626,685799,102,£806.58
123,4324,531814,60,"£5,142.74"
302,3028,914462,105,"£507,305.92"
"1,072",3189,3419142,124,"£225,163.13"
150,2755,413246,62,"£772,661.94"
356,1722,612926,97,"£388,501.95"
"1,801",1353,2437006,129,"£652,710.96"
1,197,197,1,"£455,384.68"
1,69,69,1,"£36,317.86"
17,420,7134,3,"£28,988.46"
26,2011,52289,9,"£116,473.83"
30,3835,115058,6,"£44,304.66"
140,659,92307,38,"£54,703.72"
18,571,10285,11,"£98,483.46"
167,622,103853,42,"£133,869.23"
53,1292,68472,23,"£66,577.02"
240,885,212459,46,"£112,600.08"
152,1842,280037,42,"£75,378.07"
595,1139,677988,91,"£130,476.56"
11,580,6382,7,"£199,207.83"
82,907,74345,31,"£371,630.12"
4,385,1542,4,"£365,331.77"
43,140,6034,1,"£459,834.57"
48,2454,117781,25,"£726,708.06"
284,1804,512421,60,"£918,864.70"
189,2101,397030,20,"£117,590.34"
27,3133,84597,17,"£151,159.21"
111,1375,152571,37,"£47,333.71"
92,1983,182478,49,"£143,367.83"
34,3153,107211,15,"£331,012.97"
70,2025,141725,26,"£172,206.40"
219,2065,452291,37,"£542,986.36"
500,3759,1879577,37,"£763,605.79"
299,3505,1048047,33,"£1,799,460.10"
549,3196,1754331,43,"£1,168,709.36"
118,5007,590815,30,"£462,971.27"
79,4224,333708,19,"£401,712.09"
104,3520,366056,24,"£198,209.68"
19,5017,95320,6,"£126,027.25"
11,5374,59115,6,"£79,310.67"
8,4096,32769,6,"£155,832.81"
14,3759,52619,6,"£318,887.89"
11,4474,49209,7,"£577,900.15"
12,4492,53903,9,"£425,962.18"
8,5220,41759,7,"£575,552.57"
8,3252,26013,5,"£2,094,615.79"
7,1929,13503,7,"£1,252,828.61"
59,5277,311315,12,"£2,809,624.44"
31,4442,137715,16,"£2,805,414.76"
61,3747,228548,15,"£1,324,401.24"
108,5579,602515,23,"£674,407.13"
58,5588,324090,19,"£252,732.29"
89,5110,454766,20,"£70,147.12"
5,6451,32253,4,"£79,482.39"
6,6971,41825,6,"£36,243.08"
15,7200,107995,8,"£9,714.15"
13,6618,86039,6,"£34,566.54"
3,8257,24770,3,"£418,554.61"
930,4824,4486564,44,"£114,343.05"
"2,598",4191,10888275,55,"£1,237,126.65"
"3,529",3554,12543259,54,"£549,579.20"
107,6936,742162,34,"£823,013.01"
273,6057,1653573,42,"£848,212.55"
508,5792,2942259,48,"£536,618.46"
13,873,11344,3,"£2,894,362.46"
2,165,329,2,"£2,096,214.60"
10,4474,44737,5,"£1,147,009.64"
5,3056,15278,4,"£1,453,709.77"
26,1748,45455,12,"£755,047.39"
