"","H","S1","S2","D","Total discounted cost","Cumulative cost"
"0",2000,0,0,0,1000,1000
"1",1697.97302784856,2550,0,2.0269721514421,4126.21359223301,5126.21359223301
"2",1591.58164562377,3105.73357815814,425.25,2.59318209110403,4830.95334703838,9957.16693927138
"3",1537.29141726227,3196.1836211991,948.45678053259,3.23049595579213,5202.72887459516,15159.8958138665
"4",1497.3285141424,3165.37132926676,1483.37604362636,3.68181960246176,5463.98007016754,20623.8758840341
"5",1461.62000633635,3103.25922377809,2006.67404388476,4.33505394142942,5672.41903681089,26296.294920845
"6",1427.60726380965,3034.54150345668,2513.35292266816,4.73592150743137,5845.83910749372,32142.1340283387
"7",1394.54303665754,2964.91822153887,3001.30937285858,5.3033456943119,5989.29222242204,38131.4262507607
"8",1362.18065301538,2895.8622472562,3469.24564932043,6.02245689336361,6104.74712034115,44236.1733711019
"9",1330.496168641,2828.2092581194,3917.9543522465,6.60002897160514,6195.14556871546,50431.3189398173
"10",1299.47142509282,2761.94889240732,4347.47238140838,7.19409691289591,6262.35897201339,56693.6779118307
"11",1269.0918763974,2697.06324340022,4757.87629105687,7.79910824695039,6308.06015065329,63001.738062484
"12",1239.31373650537,2633.34099022743,5148.12660543955,8.55118257460092,6332.99215741573,69334.7302198998
"13",1210.13217141333,2570.92281672216,5518.6759443856,9.25656753751976,6338.96751214465,75673.6977320444
"14",1181.53174427025,2509.73421541507,5869.27693303953,10.0049815297361,6327.25961110924,82000.9573431537
"15",1153.53169957959,2449.95294018005,6201.43634016703,10.6001745626062,6300.20952293416,88301.1668660878
"16",1126.07211274341,2391.13805177223,6512.43768979336,11.5118104588292,6257.31873451383,94558.4856006016
"17",1099.06049061819,2332.95536397178,6798.09208170319,12.8674398877719,6197.16855697249,100755.654157574
"18",1072.47970444576,2275.66035990478,7058.42281608055,14.2056696213493,6121.10325351815,106876.757411092
"19",1046.35670707884,2219.48662871729,7295.31083782938,15.3482580247048,6031.63154931246,112908.388960405
"20",1020.59084095358,2163.71581111515,7501.6768807073,17.2059416786997,5926.09650446796,118834.485464873
"21",995.221302790064,2108.97566113324,7681.62267607837,18.6411837407005,5807.93009239055,124642.415557263
"22",970.17539756072,2054.67430045057,7829.11910972287,20.6700741429504,5675.39248225784,130317.808039521
"23",945.47272014552,2001.21081293718,7946.82343836698,22.431968834025,5531.01618740414,135848.824226925
"24",921.018698819396,1947.93643526109,8026.78830471537,24.9584075016542,5372.26166269891,141221.085889624
"25",896.767533903131,1894.93749690006,8066.88170257731,27.6768944383542,5199.34013709692,146420.426026721
"26",872.712898950035,1842.35436045716,8067.50931997437,30.3536821598099,5013.89875043698,151434.324777158
"27",848.839816742907,1790.12194346545,8027.81484842139,33.1169533545523,4816.97497946147,156251.29975662
"28",825.152259137552,1738.32212753514,7949.14131984359,35.7663932344937,4610.4525993601,160861.75235598
"29",801.631349527269,1686.82654645541,7830.71211803431,38.508319860053,4395.24312286858,165256.995478848
"30",778.304618661023,1635.87318139271,7676.92680356818,40.8668977467566,4174.23810635639,169431.233585205
"31",755.191798160909,1585.47598474665,7490.79232084268,42.9815214401478,3949.64971571958,173380.883300924
"32",732.257842963716,1535.35021225734,7270.68457497689,45.2872715377088,3721.65899545465,177102.542296379
"33",709.443519354546,1485.27554245175,7014.42564674683,47.8407943367519,3490.12650023411,180592.668796613
"34",686.845249729337,1436.05125240043,6735.3746731519,49.2078640862999,3260.5372719251,183853.206068538
"35",664.488553455485,1387.46563238884,6436.62189981979,50.3478750592025,3034.5918107893,186887.797879327
"36",642.37584173691,1339.43736326336,6120.8732018479,51.2954437740542,2813.38813178839,189701.186011116
"37",620.440218330918,1291.56264073457,5785.42539810113,52.5606425124545,2596.11404293075,192297.300054046
"38",598.632188771167,1243.80102234627,5431.36490103982,53.7992888748796,2383.12630890488,194680.426362951
"39",576.8904252203,1195.97814716353,5059.09491966279,55.0907268476634,2174.61179108961,196855.038154041
"40",555.510441566857,1150.05008007565,4698.24664773609,53.6466646303376,1979.57664679648,198834.614800837
"41",534.365559751859,1104.18545600638,4335.37792413674,53.5566871879695,1793.9484967457,200628.563297583
"42",513.403874884359,1058.55531632779,3972.63322410461,53.3371968404648,1617.57339690551,202246.136694489
"43",492.556325311141,1012.94980897874,3610.01188964393,53.2125617858975,1450.05085366169,203696.18754815
"44",471.88739723574,967.993411413668,3257.16400313581,52.2299124758691,1293.56842212223,204989.755970273
"45",451.183024857602,922.226726529631,2903.59821143278,52.4214954326048,1144.86836762599,206134.624337899
"46",430.548361389784,877.030711990918,2564.11100607199,51.2372621912073,1007.15874500253,207141.783082901
"47",409.732278565672,830.606004403426,2228.51706072372,51.2845320690763,877.425717980172,208019.208800881
"48",388.884058185484,784.702278646896,1913.55334018272,49.7216812892784,759.116687452753,208778.325488334
"49",368.106139220835,739.349433009007,1625.1684219323,47.6134183996475,653.217592420741,209431.543080755
"50",347.554267026496,695.058889273621,1369.34983665055,44.8429220066546,560.414822871108,209991.957903626
"51",326.963867347142,649.864526447509,1135.67993679342,43.3559027016947,477.444557940683,210469.402461567
"52",306.479010011487,605.479157907345,931.811430173984,40.9413642668801,405.236981686876,210874.639443253
"53",285.985276507127,560.792910473041,753.1580992499,39.1210489645765,342.153696521844,211216.793139775
"54",265.696234267355,517.341658555873,604.011351400251,36.576227225937,288.526438994855,211505.31957877
"55",245.500921179541,473.847059254904,478.449974103945,34.7427709921266,242.523551466875,211747.843130237
"56",225.370021957964,430.579505772563,374.341290894936,33.06176665845,203.138718229589,211950.981848467
"57",205.534315933614,388.788304585206,291.756417641541,30.9882770113369,170.090245118087,212121.072093585
"58",185.994856894717,347.773365639149,226.155357944171,29.339704418537,142.122509639487,212263.194603224
"59",166.881120698395,308.218361815384,175.058288791541,27.659897331183,118.49952998636,212381.694133211
"60",148.32949798124,270.389140829849,135.620903575981,26.0223718572518,98.5066210325316,212480.200754243
"61",130.493487112081,234.628684724786,105.310238638863,24.3773808591043,81.5394124792623,212561.740166722
"62",113.567152847119,201.392139656491,82.0964397733227,22.6332304533079,67.1459180789789,212628.886084801
"63",97.2931139218677,169.141896647618,62.9766916939082,21.5629125531382,54.5168243212915,212683.402909123
"64",82.1607782712097,140.596689585127,48.3828287602861,19.6289443025172,43.8496449822847,212727.252554105
"65",68.5615448434589,115.905431889942,37.5726058537127,17.3445322452628,35.0490073159605,212762.301561421
"66",56.3062462805612,93.5895638787148,28.9097227087512,15.5589842986908,27.6286810754899,212789.930242496
"67",45.3432551102552,73.9740445995481,21.8585201683407,13.8223489554644,21.3910701598056,212811.321312656
"68",35.7210294018475,57.1988448601441,16.2577874986039,12.0312167202587,16.2406404952697,212827.561953151
"69",27.4231930568776,43.0487305010741,11.8663241102258,10.3016858581617,12.0511843523593,212839.613137504
"70",20.5795155989246,31.870969600049,8.56804739928334,8.40742214825018,8.76831476093442,212848.381452265
"71",14.9042572308731,22.5509841330703,6.03136156446883,6.96399972968626,6.18619213375263,212854.567644398
"72",10.5797795599511,15.9497644055618,4.17434953809076,5.23398103605846,4.278309603325,212858.845954002
"73",7.2740793706356,10.771262229284,2.86287513260269,4.00961723544368,2.88000262926099,212861.725956631
"74",4.8334609730401,7.09946373386258,1.88887732796499,2.94075025577706,1.88098580209874,212863.606942433
"75",3.12784312057406,4.56689574581944,1.22484729053449,2.04849546367401,1.1949199740511,212864.801862407
"76",1.96006236696286,2.8414304837479,0.77609247947782,1.40071484111858,0.738109115959709,212865.539971523
"77",1.17778582890902,1.69817308797228,0.475582553272913,0.93649576249439,0.440344164454252,212865.980315688
"78",0.68402711780015,0.986188979593822,0.281100209604369,0.589828981642921,0.253352952219812,212866.23366864
"79",0.389309318802518,0.561120563425864,0.162185929807079,0.35203082827215,0.141772536003127,212866.375441176
"80",0.214747527337601,0.309295057540727,0.0916895442123953,0.208498954823452,0.0774588442145097,212866.45290002
"81",0.114223592599286,0.164959805798849,0.0501875754698994,0.120003544317917,0.0410008859383218,212866.493900906
"82",0.0582888673620081,0.0844502481949701,0.0265870066959985,0.0668041983291393,0.0209169968455924,212866.514817903
"83",0.0288877251181175,0.0420394383746126,0.0135325464714194,0.0351451024760084,0.0102862956763488,212866.525104199
"84",0.0146041880762721,0.0211685533844217,0.00672684894976728,0.0171208876994274,0.00497815688548419,212866.530082355
"85",0.00739426255282687,0.0107364172786576,0.00339348384503306,0.0086269503105824,0.00122210709932186,212866.531304463
